"num" "sf" "shift" "freq" "LM" "MW" "C" "N" "P" "O" "cansmi" "envlab" "ref" "rho_vac" "rho_chcl3" "rho_dmso" "rho_h2o" "rho_tol" "rho_acn" "rho_kt3" "rho_r2s" "delta_vac" "delta_chcl3" "delta_dmso" "delta_h2o" "delta_tol" "delta_acn" "delta_kt3" "delta_r2s" "delta_ens_bol" "delta_ens_min" "delta_ens_max"
"23" "Lan1-CMP63" "C2H6ClO2P" 42.9 NA "CDCl3" 128.494601 2 0 1 2 "COP(=O)(Cl)C" "C1Cl1O2O1" "Purnanand, Shakya, P.D., Saxena, S., Sharma, M., Lal, B.: Phosphorus, Sulfur Silicon Relat. Elem. 177 (2002) 1093." 230.046 213.56 208.368 208.391 218.762 208.555 278.409 306.95 33.387 48.787 53.81 53.754 43.861 53.629 28.176 35.695 41.6131002341746 33.330078 41.734643
"24" "Lan1-CMP64" "C2H6ClO3P" 6.34 NA "CDCl3" 144.494001 2 0 1 3 "COP(=O)(OC)Cl" "O1Cl1O2O1" "Acharya, J., Gupta, A.K., Shakya, P.D., Kaushik, M.P.: Tetrahedron Lett. 46 (2005) 5293." 252.366 250.256 255.121 249.765 250.894 249.746 297.797 325.551 11.067 12.091 7.05699999999999 12.38 11.729 12.438 8.78799999999995 17.094 6.92715597126297 -7.46699899999999 15.42959
"25" "Lan1-CMP66" "C2H7O4P" 41.3 NA "D2O" 126.048341 2 0 1 4 "[2H]OP(=O)(CO)CO" "C1C1O1O2" "Moiseev, D.V., James, B.R., Hu, T.Q.: Phosphorus, Sulfur Silicon Relat. Elem. 187 (2012) 433." 234.704 225.251 221.723 221.735 228.44 221.869 279.16 307.417 28.729 37.096 40.455 40.41 34.183 40.315 27.425 35.228 37.7688718348235 19.497288 47.705735
"26" "Lan1-CMP68" "C2H7O2PS" 75 NA "CDCl3" 126.114541 2 0 1 2 "COP(=S)OC" "S2O1O1H1" "Hudson, H.R., Jaszay, Z.M., Pianka, M.: Phosphorus, Sulfur Silicon Relat. Elem. 178 (2003) 1571." 189.894 182.66 180.904 180.911 184.72 180.963 244.12 274.328 73.539 79.687 81.274 81.234 77.903 81.221 62.465 68.317 74.7284785925922 72.578565 79.735552
"27" "Lan1-CMP69" "C2H7O2PS" 74.8 NA NA 126.114541 2 0 1 2 "COP(=S)OC" "S2O1O1H1" "Tongcharoensirikul, P., Suarez, A.I., Voelker, T., Thompson, C.M.: J. Org. Chem. 69 (2004) 2322." 189.894 182.66 180.904 180.911 184.72 180.963 242.782 273.323 73.539 79.687 81.274 81.234 77.903 81.221 63.803 69.322 74.7284785925922 72.578565 79.735552
"28" "Lan1-CMP70" "C2H7O3P" 34.3 NA "D2O" 110.048941 2 0 1 3 "OP(C(O)C)O" "O1O1C1" "David, T., Kreckova, P., Kotek, J., Kubicek, V., Lukes, I.: Heteroatom Chem. 23 (2012) 195." 99.774 100.089 100.271 100.302 99.873 100.261 151.354 189.193 163.659 162.258 161.907 161.843 162.75 161.923 155.231 153.452 155.407711435991 127.221286 190.531297
"29" "Lan1-CMP71" "C2H7O3P" 37 NA "D2O" 110.048941 2 0 1 3 "OCP(=O)CO" "C1C1O2H1" "Moiseev, D.V., James, B.R., Hu, T.Q.: Phosphorus, Sulfur Silicon Relat. Elem. 187 (2012) 433." 258.041 250.785 247.81 247.801 253.348 247.922 303.505 330.605 5.392 11.562 14.368 14.344 9.27499999999998 14.262 3.07999999999998 12.04 6.74618948802017 -4.601607 13.3961
"30" "Lan1-CMP72" "C2H7O3P" 34.6 NA "CDCl3" 110.048941 2 0 1 3 "COP(=O)(O)C" "C1O1O2O1" "Barucki, H., Black, R.M., Kinnear, K.I., Holden, I., Read, R.W., Timperley, C.M.: Phosphorus, Sulfur Silicon Relat. Elem. 178 (2003) 2279." 244.796 236.526 233.883 233.921 239.329 233.977 287.138 315.365 18.637 25.821 28.295 28.224 23.294 28.207 19.447 27.28 26.3139745954021 8.21398299999998 26.612064
"31" "Lan1-CMP74" "C2H7O4P++" 5.8 NA "dioxane" 126.048341 2 0 1 4 "O[P@@H]1=[O+][OH+]CCO1" "H1O1O2O1" "Tzokov, J.B., Vassilev, N.G., Momtcheva, R.T., Kaneti, J., Petkov, D.D.: Phosphorus, Sulfur Silicon Relat. Elem. 166 (2000) 187." NA NA NA NA NA NA 305.292 332.821 NA NA NA NA NA NA 1.29300000000001 9.82399999999996 NA NA NA
"32" "Lan1-CMP75" "C2H8NO2P" 21.4 NA "D2O" 109.064181 2 1 1 2 "CC(P(=O)O)N" "C1H1O2O1" "Hudson, H.R., Ismail, F., Planka, M.: Phosphorus, Sulfur Silicon Relat. Elem. 173 (2001) 143." 256.94 242.879 239.077 239.129 247.259 239.215 300.317 326.861 6.49299999999999 19.468 23.101 23.016 15.364 22.969 6.26799999999997 15.784 24.3187727332237 5.98717999999997 34.341569
"33" "Lan1-CMP76" "C2H8NO2PS" 76.24 NA "CDCl3" 141.129181 2 1 1 2 "COP(=S)(OC)N" "O1O1N1S2" "Ghadimi, S., Mousavi, S.L., Rahnama, Z., Rahimi, M.: Phosphorus, Sulfur Silicon Relat. Elem. 185 (2010) 347." 180.759 177.687 177.253 177.276 178.363 177.266 235.604 266.585 82.674 84.66 84.925 84.869 84.26 84.918 70.981 76.06 82.5456064384368 70.124535 90.186244
"34" "Lan1-CMP77" "C2H8NOPS2" 37.4 NA "CDCl3" 157.194781 2 1 1 1 "COP(=S)(SC)N" "O1S1N1S2" "Ghadimi, S., Mousavi, S.L., Rahnama, Z., Rahimi, M.: Phosphorus, Sulfur Silicon Relat. Elem. 185 (2010) 347." 155.304 146.152 143.784 143.816 148.799 143.863 217.388 249.593 108.129 116.195 118.394 118.329 113.824 118.321 89.197 93.052 107.486839327609 93.492821 119.386449
"35" "Lan1-CMP78" "C2H8NO3P" 6.62 NA "D2O" 125.063581 2 1 1 3 "CNCP(=O)(O)O" "C1O2O1O1" "Prishchenko, A.A., Livantsov, M.V., Novikova, O.P., Livantsova, L.I., Petrosyan, V.S.: Heteroatom Chem. 21 (2010) 71." 255.09 245.965 241.764 241.778 249.179 241.917 297.404 324.912 8.34299999999999 16.382 20.414 20.367 13.444 20.267 9.18099999999998 17.733 19.8223294311561 8.557547 28.800045
"36" "Lan1-CMP81" "C3H6Cl2NOP" 179.6 NA "CDCl3" 173.965601 3 1 1 1 "N=CCCP(=O)(Cl)Cl" "Cl1Cl1O2C1" "Majewski, P.: Phosphorus, Sulfur Silicon Relat. Elem. 184 (2009) 942." 198.266 184.747 180.844 180.875 188.942 180.983 253.667 282.896 65.167 77.6 81.334 81.27 73.681 81.201 52.918 59.749 64.2362269831433 56.293178 65.223376
